source,target,weight
and,that,2.859069585800171
that,and,2.933414220809937
for,and,2.721034288406372
and,for,2.961342811584473
with,and,1.626328110694885
and,you,2.443070173263550
and,are,2.519109249114990
that,you,2.683929443359375
are,and,1.309166193008423
and,with,3.308284759521484
you,that,1.805325984954834
and,not,3.256720066070557
this,and,1.974032521247864
and,this,2.513293266296387
you,and,1.686046242713928
and,have,2.596261024475098
have,and,1.818872451782227
that,not,3.577796697616577
that,are,2.767464637756348
for,that,2.913534879684448
you,have,1.639379382133484
and,they,2.954486608505249
that,for,3.253297567367554
was,and,1.622014760971069
that,have,2.852222681045532
that,was,3.493241786956787
not,that,1.711250185966492
from,and,1.344859242439270
and,was,3.179753303527832
that,this,2.761074066162109
you,are,1.590662240982056
you,can,1.986149072647095
have,that,1.947549343109131
this,that,2.113685846328735
that,they,3.245764732360840
not,and,1.598186135292053
and,from,2.815320491790771
they,and,2.037975549697876
are,that,1.401783585548401
and,can,3.145436525344849
for,you,2.489610671997070
with,that,1.741382598876953
and,all,2.004649162292480
and,will,2.047119617462158
but,that,1.229472756385803
you,your,1.740313172340393
that,with,3.634444236755371
was,that,1.736764669418335
all,and,1.245149493217468
for,this,2.561170816421509
that,can,3.455541372299194
and,but,2.652829408645630
can,and,1.307516932487488
they,are,1.922682523727417
are,you,1.197822570800781
you,for,1.869905948638916
have,for,2.017216920852661
and,other,2.263690948486328
and,there,3.201719284057617
that,would,3.117183208465576
there,are,0.994965553283691
are,not,1.596750617027283
this,for,2.189296007156372
have,been,1.733744740486145
but,and,1.148240208625793
are,for,1.451928257942200
that,will,2.248943090438843
one,and,1.000808358192444
and,what,3.517474412918091
and,one,2.526280403137207
will,and,1.318566560745239
this,you,1.806141376495361
what,you,1.222113966941833
that,there,3.517372608184814
about,and,1.195644974708557
you,this,1.586989283561707
that,but,2.914369583129883
has,and,1.127155184745789
your,you,1.339463710784912
and,would,2.837442398071289
have,you,1.664178490638733
not,you,1.462261199951172
not,but,1.587810039520264
there,that,1.129238009452820
but,not,1.400473952293396
this,not,2.407666921615601
not,for,1.772464990615845
there,and,1.054627776145935
you,not,2.056418657302856
more,than,1.309795975685120
they,that,2.182152748107910
with,you,1.488009333610535
with,for,1.803675889968872
have,with,2.253547191619873
and,has,2.215735912322998
their,and,1.636228203773499
they,have,1.981568217277527
were,and,0.786329388618469
and,their,2.469154119491577
and,were,2.647521257400513
from,that,1.440001845359802
for,are,2.567097902297974
for,with,3.371305942535400
for,have,2.645720720291138
that,has,2.434182882308960
your,and,1.463973879814148
you,with,2.088977813720703
and,them,1.907346248626709
that,all,2.202285289764404
can,you,1.196313858032227
for,not,3.318761348724365
can,that,1.400017619132996
have,this,1.712012171745300
and,then,1.541376829147339
out,and,0.786708831787109
and,some,2.658593654632568
what,and,1.335715293884277
one,that,1.071610808372498
has,been,1.074401378631592
not,have,1.553951501846313
all,that,1.333238124847412
with,this,1.530779719352722
not,this,1.504291296005249
which,and,1.336689829826355
that,one,2.775343179702759
and,about,3.126505851745605
that,from,3.092880010604858
and,which,1.775396227836609
would,have,1.856140851974487
but,you,1.050583124160767
for,but,2.703367233276367
would,and,1.908977627754211
does,not,1.332945823669434
and,your,2.756109952926636
and,also,2.797226667404175
that,what,3.864257097244263
and,more,2.562479019165039
are,they,1.448565840721130
some,and,1.209199190139771
would,that,2.044028759002686
and,out,3.325520038604736
and,any,3.026814222335815
think,that,1.252582788467407
about,that,1.280231237411499
was,for,1.798892498016357
between,and,0.811508417129517
people,and,0.920157432556152
this,was,2.350766181945801
and,who,2.920358180999756
are,with,1.622030735015869
they,were,2.020692110061646
more,and,1.210724949836731
who,and,1.323519229888916
and,when,2.185951709747314
and,his,3.107635736465454
that,were,2.908536672592163
this,have,1.919394612312317
them,and,1.780930161476135
had,and,0.800591468811035
this,but,1.961214780807495
what,that,1.430210947990417
this,with,2.445787429809570
his,and,1.724732875823975
like,and,1.773658037185669
you,don,1.434331536293030
you,will,1.292630791664124
have,not,2.218423604965210
and,people,2.367173671722412
been,and,1.096658825874329
that,some,2.920700788497925
but,for,1.273453712463379
and,had,2.403338193893433
you,get,2.117650985717773
other,and,0.773521721363068
was,not,1.978322625160217
you,want,1.150562286376953
are,this,1.232251763343811
for,all,2.042839527130127
you,know,1.480647802352905
both,and,0.883909344673157
can,for,1.450099349021912
and,like,1.889798045158386
that,had,2.640280246734619
and,don,2.271530151367188
and,get,3.353692293167114
that,people,2.600550889968872
know,that,1.347507238388062
what,are,1.260151147842407
use,and,1.183325409889221
not,are,1.507772803306580
not,with,1.980120897293091
and,only,1.957972884178162
and,use,3.352965831756592
but,have,1.116459012031555
some,that,1.294744610786438
will,you,1.206423759460449
have,but,1.807063817977905
also,and,0.964911580085754
will,that,1.411848902702332
when,and,1.108883619308472
this,are,1.862356305122375
for,was,3.240329027175903
there,for,1.169633507728577
for,from,2.868953943252563
that,your,3.027831315994263
out,that,0.842364668846130
and,just,2.094384193420410
you,what,2.221068859100342
they,not,2.485657691955566
any,that,1.785266280174255
and,how,2.123982429504395
has,that,1.206896185874939
for,they,3.010768175125122
from,for,1.491513967514038
just,and,1.377273678779602
for,can,3.205356121063232
with,have,1.581314325332642
time,and,0.968423783779144
all,are,1.174708724021912
say,that,0.842222392559052
get,and,1.057403206825256
two,and,0.712324321269989
into,and,0.580910980701447
your,that,1.567542910575867
for,one,2.574406147003174
but,this,1.080780267715454
and,these,2.967881202697754
but,are,1.083281636238098
will,for,1.462354183197021
don,know,1.207890748977661
are,have,1.272930979728699
only,and,1.512838244438171
that,only,2.151006698608398
these,are,1.022432446479797
any,and,1.667312502861023
would,you,1.746620059013367
that,about,3.434744358062744
can,this,1.230699419975281
they,for,2.260212898254395
with,are,1.534322261810303
with,but,1.615769267082214
can,with,1.619987607002258
was,with,2.009644031524658
that,any,3.325223922729492
this,will,1.513419270515442
from,you,1.230479955673218
also,that,1.033174991607666
when,you,1.014574050903320
this,can,2.325394630432129
like,that,1.899135947227478
you,about,1.974194884300232
new,and,0.899236977100372
that,more,2.815112590789795
these,and,1.083741426467896
don,have,1.337381362915039
from,this,1.265847921371460
with,not,1.983582973480225
you,but,1.675098776817322
that,don,2.495477199554443
but,they,1.270504474639893
how,you,1.092242240905762
have,they,2.012545347213745
than,and,1.285520315170288
about,this,1.125400066375732
that,when,2.401461601257324
not,they,1.768360972404480
for,will,2.086118459701538
for,any,3.084474325180054
have,any,2.061814308166504
people,that,0.985254466533661
you,from,1.777702450752258
would,for,2.117147922515869
all,you,1.139250636100769
that,could,2.241500377655029
they,you,1.864647030830383
that,their,2.712584972381592
one,for,1.109944820404053
you,would,1.791671276092529
this,from,2.081344366073608
don,that,1.472757816314697
only,that,1.619864225387573
and,been,2.545196056365967
this,has,1.638076663017273
for,your,2.808613300323486
would,not,2.328321933746338
will,not,1.608216047286987
there,was,1.255899310112000
are,but,1.300666809082031
has,for,1.250069737434387
what,they,1.477942228317261
that,been,2.796123981475830
just,that,1.474709630012512
have,are,1.715974450111389
you,all,1.265813708305359
and,into,2.509974479675293
said,that,0.730267763137817
that,just,2.300866842269897
those,who,1.148222208023071
and,even,2.511358022689819
what,for,1.481373071670532
people,who,1.006375074386597
believe,that,0.564197957515717
you,think,1.637432932853699
but,was,1.367376923561096
system,and,0.560374975204468
can,get,1.642224550247192
for,would,2.891496419906616
and,should,2.434380531311035
then,and,1.184885263442993
for,there,3.262712001800537
don,you,1.258469939231873
who,are,1.248645186424255
this,would,2.097698450088501
our,and,0.741364955902100
this,one,1.867658138275146
not,any,1.811651349067688
you,one,1.595190763473511
all,for,1.380931019783020
god,and,0.869949281215668
was,this,1.526720404624939
that,who,3.208273172378540
and,may,2.688787460327148
and,very,3.024754285812378
all,this,1.171996235847473
are,there,1.569783568382263
and,well,2.297476053237915
and,new,2.778699159622192
for,which,1.809218645095825
know,and,1.258476018905640
for,more,2.611298322677612
and,think,2.593178987503052
for,some,2.709238529205322
are,from,1.380335450172424
what,was,1.590630769729614
that,does,2.429187774658203
and,than,2.888657808303833
such,and,0.823946654796600
not,all,1.199852347373962
they,their,1.884556293487549
other,that,0.828244924545288
and,time,2.977109432220459
you,use,2.117192268371582
would,like,1.351070523262024
and,know,2.344878673553467
did,not,0.820959031581879
for,what,3.584481477737427
been,for,1.216247797012329
but,with,1.422646880149841
and,see,1.899003028869629
with,can,1.915801525115967
and,does,2.211188793182373
that,should,2.674382209777832
not,what,2.105328798294067
that,which,1.950431108474731
very,and,0.920198976993561
all,have,1.210686087608337
one,you,0.915690481662750
about,you,1.093956470489502
you,need,1.070338964462280
that,like,2.076110601425171
were,that,0.841958880424500
that,out,3.653377771377563
with,all,1.220979928970337
how,and,1.193770766258240
with,was,1.936704754829407
their,that,1.751984119415283
that,god,3.112892150878906
what,this,1.257241249084473
will,this,1.241100072860718
what,have,1.298745274543762
and,two,2.255943298339844
more,that,1.296378254890442
right,and,0.731169104576111
was,but,1.611484289169312
and,many,1.820841431617737
with,they,1.799499034881592
that,than,3.173447370529175
you,there,2.021688699722290
will,have,1.282071352005005
and,its,2.591740846633911
than,that,1.376465201377869
they,with,2.525012016296387
that,his,3.414013147354126
and,our,3.035625219345093
and,such,2.148029565811157
who,that,1.417152404785156
are,can,1.542188167572021
over,and,0.873124718666077
fact,that,0.537761926651001
and,could,2.040345191955566
for,about,3.186063528060913
does,that,1.170190215110779
are,all,0.982868075370789
have,from,1.917750239372253
for,has,2.257947683334351
but,can,1.352618575096130
well,and,0.729805469512939
which,that,1.431254744529724
there,this,0.992668032646179
this,what,2.600439548492432
you,they,1.865576386451721
its,and,0.729599416255951
and,system,1.994933366775513
when,that,1.187332153320312
and,said,2.574730873107910
when,they,1.226957798004150
them,that,1.906922459602356
now,and,1.073778390884399
which,are,1.261070847511292
has,with,1.396522998809814
this,all,1.482021212577820
and,those,2.296835899353027
first,and,0.736658930778503
will,with,1.633678078651428
but,there,1.376821756362915
good,and,0.798319697380066
and,god,2.833537578582764
what,about,1.563992619514465
and,most,2.399366378784180
his,that,1.846750259399414
for,who,2.975989580154419
which,you,1.223005771636963
who,have,1.286887168884277
know,what,1.657820820808411
you,any,1.911246418952942
you,should,1.537161469459534
with,from,1.714738368988037
have,some,1.810988664627075
this,there,2.367004394531250
and,now,2.241167545318604
not,was,1.903192520141602
can,from,1.378596544265747
many,and,0.650671660900116
would,this,1.796823620796204
people,are,0.868102431297302
their,they,1.810454010963440
that,other,2.486865282058716
looking,for,0.668921947479248
you,see,1.199103951454163
you,just,1.322475910186768
from,are,1.268777489662170
you,out,2.099861383438110
they,can,2.400719881057739
you,like,1.193291425704956
have,one,1.720859766006470
about,for,1.326028108596802
could,and,0.799434840679169
had,that,0.857229888439178
from,with,1.666254281997681
and,good,3.744747638702393
that,may,2.953872919082642
has,this,1.060933947563171
used,and,0.807341277599335
which,for,1.482453942298889
like,you,1.622809648513794
use,for,1.312365651130676
have,about,2.129722356796265
them,they,1.970563530921936
any,you,1.525507926940918
have,all,1.365534424781799
for,use,3.416841506958008
with,one,1.538690567016602
were,they,0.870058119297028
that,them,2.095389127731323
like,this,1.669454097747803
can,have,1.271327495574951
not,from,1.685066938400269
out,there,0.943319857120514
they,would,2.165646076202393
any,for,1.849129080772400
when,was,1.320509552955627
and,make,2.983006715774536
think,you,1.070330858230591
there,any,1.195492029190063
know,you,1.151443719863892
you,may,1.697803735733032
that,know,2.576057672500610
get,you,0.967472076416016
had,been,0.763122320175171
was,from,1.710191130638123
are,some,1.303491711616516
because,and,1.001367568969727
are,what,1.724595546722412
been,that,1.174242496490479
and,same,2.313328027725220
they,had,1.834321975708008
people,have,0.894689679145813
have,can,2.142618179321289
should,and,1.313946962356567
not,one,1.512065529823303
from,not,1.640284061431885
was,you,1.484063506126404
but,what,1.512603998184204
not,can,1.882650732994080
and,over,3.598150014877319
can,not,1.594738960266113
and,both,1.608089208602905
don,and,1.375450968742371
you,some,1.678737759590149
don,think,1.335793375968933
this,they,2.184226751327515
that,these,3.260478258132935
for,other,2.306814432144165
they,will,1.562442898750305
for,their,2.516192436218262
some,for,1.341060638427734
then,that,1.268710494041443
out,for,0.872498154640198
can,but,1.299028277397156
there,you,0.964932858943939
and,used,2.039122581481934
that,think,2.848838090896606
they,this,1.918242931365967
that,use,3.683530330657959
that,way,2.938617229461670
also,for,1.070134162902832
does,have,1.062625646591187
from,have,1.307636260986328
think,and,1.169823288917542
have,what,2.396043539047241
that,get,3.684328794479370
out,you,0.719799995422363
any,this,1.569355845451355
that,even,2.758949279785156
was,they,1.794726610183716
your,for,1.623617529869080
and,first,2.173904180526733
are,more,1.256369590759277
most,and,0.841992080211639
with,what,2.142400264739990
him,and,1.092180371284485
that,because,2.239660024642944
god,that,0.931494355201721
back,and,0.790171504020691
not,there,1.916338562965393
get,for,1.172711372375488
for,people,2.412268400192261
some,are,1.140792369842529
off,and,0.870226860046387
just,you,1.260137915611267
see,and,1.196483135223389
this,about,2.311398744583130
then,you,1.084111809730530
you,them,1.204372167587280
from,was,1.601519703865051
with,your,1.678673028945923
not,only,1.171913027763367
information,and,0.584191441535950
get,that,1.132209539413452
how,can,1.406254291534424
and,back,2.191410541534424
much,and,1.048547744750977
and,him,2.099565029144287
they,but,2.024744510650635
and,after,3.136790037155151
you,could,1.288352012634277
and,way,2.674902439117432
not,your,1.649625420570374
may,have,0.788674473762512
may,not,0.989304125308990
that,also,3.073000907897949
and,much,2.951800823211670
using,and,0.800072431564331
that,time,3.270617961883545
not,would,1.698306202888489
are,who,1.431832909584045
being,and,0.790927529335022
are,about,1.532906174659729
for,time,3.033821344375610
than,you,1.176188588142395
but,would,1.220172643661499
there,were,1.045684218406677
well,that,0.781436026096344
you,was,2.007819652557373
for,also,2.850511312484741
some,have,1.175731062889099
with,will,1.246847391128540
all,with,1.542715787887573
now,that,1.149743437767029
not,about,1.871320128440857
them,you,1.629463553428650
something,that,0.876811206340790
was,there,1.944911479949951
there,with,1.306663274765015
one,this,0.942010223865509
one,with,1.239981770515442
may,and,0.811124444007874
was,one,1.534610033035278
was,about,1.899221301078796
and,because,2.038670778274536
know,this,1.184539794921875
are,one,1.238619804382324
only,for,1.677810549736023
there,some,1.050057053565979
used,for,0.895380735397339
with,some,1.619278073310852
but,will,0.880314469337463
was,had,1.459927797317505
and,where,4.299070358276367
more,you,1.107753753662109
this,any,2.237698078155518
with,which,1.081347703933716
should,that,1.406902670860291
this,your,2.037568807601929
with,there,1.950082540512085
one,was,1.191808104515076
same,and,0.969188213348389
use,that,1.267040491104126
and,data,2.561662673950195
what,can,1.573462963104248
that,most,2.635915756225586
but,one,1.086365580558777
and,why,2.890543460845947
make,and,0.880262911319733
with,their,1.503897309303284
you,say,1.464105248451233
like,for,1.967072367668152
work,and,0.641571521759033
you,more,1.618049740791321
which,have,1.299693465232849
make,that,0.942537605762482
because,they,1.107993841171265
who,for,1.467847108840942
had,with,0.991917610168457
and,work,2.854221582412720
program,and,0.790755927562714
were,not,0.959062457084656
time,that,1.036935567855835
and,information,2.597658157348633
see,that,1.281128883361816
and,still,2.363386869430542
have,their,1.681947469711304
what,with,1.654924988746643
your,are,1.381153345108032
image,and,0.475478559732437
way,and,1.013051033020020
they,all,1.530027985572815
have,would,1.932817339897156
