source,target,weight
and,that,0.001857949420810
that,and,0.001666107680649
for,and,0.002210047561675
and,for,0.001864345744252
with,and,0.001046134508215
and,you,0.001685757539235
and,are,0.001034105080180
that,you,0.000732255110051
are,and,0.000967452942859
and,with,0.001100514666177
you,that,0.001119577558711
and,not,0.001136041944847
this,and,0.000957040349022
and,this,0.000559543666895
you,and,0.002311298390850
and,have,0.000980923650786
have,and,0.001182077568956
that,not,0.000493470986839
that,are,0.000449191924417
for,that,0.001070532365702
you,have,0.000591092451941
and,they,0.000588682654779
that,for,0.000809829682112
was,and,0.000866076385137
that,have,0.000426091050031
that,was,0.000353769690264
not,that,0.000458837224869
from,and,0.000908997317310
and,was,0.000814429193269
that,this,0.000243053160375
you,are,0.000623138970695
you,can,0.000300929154037
have,that,0.000572590448428
this,that,0.000463583855890
that,they,0.000255710474448
not,and,0.000947241031099
and,from,0.000407627812820
they,and,0.000701866752934
are,that,0.000468627695227
and,can,0.000499394780491
for,you,0.000971317000221
with,that,0.000506740529090
and,all,0.000310563715175
and,will,0.000287093629595
but,that,0.000270169868600
you,your,0.000269087962806
that,with,0.000478038768051
was,that,0.000419521587901
all,and,0.000390027533285
for,this,0.000322403619066
that,can,0.000216925822315
and,but,0.000340760161635
can,and,0.000668792519718
they,are,0.000189227226656
are,you,0.000425196019933
you,for,0.001123431604356
have,for,0.000574561592657
and,other,0.000227423763135
and,there,0.000402073725127
that,would,0.000167402133229
there,are,0.000179187918548
are,not,0.000286542053800
this,for,0.000465179851744
have,been,0.000043735937652
but,and,0.000557749182917
are,for,0.000470240978757
that,will,0.000124706974020
one,and,0.000509319303092
and,what,0.000291122036288
and,one,0.000327820482198
will,and,0.000710794993211
this,you,0.000420619588112
what,you,0.000234682462178
that,there,0.000174651737325
about,and,0.000466698722448
you,this,0.000337174162269
that,but,0.000148018516484
has,and,0.000481487164507
your,you,0.000306149449898
and,would,0.000385384046240
have,you,0.000519523688126
not,you,0.000416312890593
not,but,0.000084153762145
there,that,0.000321942236042
but,not,0.000165195262525
this,not,0.000283458153717
not,for,0.000460416777059
there,and,0.000664629857056
you,not,0.000684564816765
more,than,0.000013276257050
they,that,0.000339979596902
with,you,0.000459776638309
with,for,0.000508485012688
have,with,0.000339161168085
and,has,0.000265039619990
their,and,0.000495827000123
they,have,0.000179495691555
were,and,0.000219179186388
and,their,0.000247440184467
and,were,0.000150542167830
from,that,0.000440312142018
for,are,0.000595841265749
for,with,0.000634105817880
for,have,0.000565198482946
that,has,0.000115127237223
your,and,0.000696585222613
you,with,0.000663156621158
and,them,0.000080370926298
that,all,0.000134901856654
can,you,0.000293934601359
for,not,0.000654576346278
can,that,0.000323958578520
have,this,0.000172442451003
and,then,0.000142109623994
out,and,0.000484756106744
and,some,0.000200351176318
what,and,0.000533975544386
one,that,0.000246710784268
has,been,0.000017814647435
not,have,0.000242247828282
all,that,0.000188926671399
with,this,0.000152610969963
not,this,0.000138184317620
which,and,0.000391910114558
that,one,0.000142397810123
and,about,0.000293229211820
that,from,0.000177064328454
and,which,0.000241389876464
would,have,0.000124216050608
but,you,0.000245130941039
for,but,0.000196342676645
would,and,0.000485711352667
does,not,0.000097642827313
and,your,0.000446554098744
and,also,0.000134287940455
that,what,0.000126456827275
and,more,0.000229756667977
are,they,0.000148482518853
some,and,0.000423917634180
would,that,0.000235275321756
and,out,0.000229103607126
and,any,0.000290728989057
think,that,0.000151896179887
about,that,0.000226065734751
was,for,0.000420965807280
between,and,0.000152758337208
people,and,0.000464145588921
this,was,0.000203211340704
and,who,0.000184361619176
are,with,0.000277581129922
they,were,0.000027547181162
more,and,0.000310450734105
