source,target,weight
people,companies,86343.000000000000000
places,people,85683.000000000000000
date,places,85028.000000000000000
reuters,date,80092.000000000000000
places,companies,68144.000000000000000
date,people,61982.000000000000000
companies,title,61769.000000000000000
people,title,41824.000000000000000
set,date,41748.000000000000000
reuters,set,41723.000000000000000
reuters,training,41721.000000000000000
training,date,41713.000000000000000
body,reuters,38863.000000000000000
set,places,38671.000000000000000
title,body,26691.000000000000000
training,places,25187.000000000000000
date,usa,24978.000000000000000
usa,people,24958.000000000000000
usa,companies,23949.000000000000000
training,set,20881.000000000000000
body,set,18439.000000000000000
body,training,18406.000000000000000
title,march,17389.000000000000000
body,date,13596.000000000000000
reuters,places,13533.000000000000000
and,said,12859.000000000000000
places,usa,12546.000000000000000
usa,places,12524.000000000000000
reuters,test,12383.000000000000000
test,date,12377.000000000000000
set,usa,11942.000000000000000
march,body,11566.000000000000000
training,usa,11195.000000000000000
said,and,10463.000000000000000
and,reuters,9600.000000000000000
places,title,8018.000000000000000
for,and,7892.000000000000000
body,said,7888.000000000000000
title,april,7834.000000000000000
and,for,7114.000000000000000
and,body,6966.000000000000000
title,said,6664.000000000000000
said,its,6459.000000000000000
said,for,6407.000000000000000
test,set,6203.000000000000000
test,training,6200.000000000000000
for,said,6006.000000000000000
title,reuters,5941.000000000000000
april,body,5918.000000000000000
said,reuters,5763.000000000000000
title,new,5701.000000000000000
test,places,5625.000000000000000
said,will,5601.000000000000000
body,test,5524.000000000000000
said,that,5173.000000000000000
company,said,5037.000000000000000
companies,march,4970.000000000000000
and,will,4900.000000000000000
march,said,4878.000000000000000
date,companies,4773.000000000000000
set,people,4692.000000000000000
said,was,4548.000000000000000
with,and,4496.000000000000000
from,and,4403.000000000000000
for,reuters,4330.000000000000000
title,net,4241.000000000000000
will,and,4218.000000000000000
title,york,4010.000000000000000
its,and,3981.000000000000000
new,york,3978.000000000000000
companies,body,3835.000000000000000
title,june,3790.000000000000000
body,and,3787.000000000000000
said,has,3771.000000000000000
said,would,3704.000000000000000
and,from,3688.000000000000000
said,body,3672.000000000000000
net,body,3558.000000000000000
said,with,3523.000000000000000
and,its,3515.000000000000000
for,body,3500.000000000000000
new,body,3414.000000000000000
and,that,3396.000000000000000
from,said,3388.000000000000000
companies,new,3371.000000000000000
body,net,3370.000000000000000
said,from,3320.000000000000000
net,loss,3318.000000000000000
title,washington,3296.000000000000000
