source,target,weight
people,companies,0.000003418201686
places,people,0.000000156910403
date,places,0.000000046457139
reuters,date,0.000001297094173
places,companies,0.000000326655964
companies,title,0.000000068422963
date,people,0.000002183528522
people,title,0.000000054131061
set,date,0.000000980555342
reuters,set,0.000001312888003
reuters,training,0.000000027703903
training,date,0.000000090203841
body,reuters,0.000000737340997
set,places,0.000000025195012
title,body,0.000000073277818
training,places,0.000000002317755
date,usa,0.000000084231857
usa,people,0.000000322223173
usa,companies,0.000000670803843
training,set,0.000000091302155
body,set,0.000000613804900
body,training,0.000000012952199
title,march,0.000001638878530
reuters,places,0.000000033328369
body,date,0.000000606420997
places,usa,0.000000006052981
usa,places,0.000000006855676
reuters,test,0.000000258029047
test,date,0.000000790253921
march,body,0.000001333510454
set,usa,0.000000045681311
training,usa,0.000000004202342
said,reuters,0.000022482505301
body,said,0.000030477231121
company,said,0.000328212277964
places,title,0.000000005172964
title,april,0.000002955435775
net,loss,0.000354975636583
title,said,0.000011396316040
said,body,0.000005975301519
loss,net,0.000467694189865
year,said,0.000391338689951
said,year,0.000457776826806
title,reuters,0.000000275713091
said,company,0.000322653155308
march,said,0.000207390272408
april,body,0.000001954894287
test,set,0.000000799876375
test,training,0.000000016878591
companies,march,0.000012420779058
title,new,0.000001567631671
test,places,0.000000020305295
body,test,0.000000120634439
bank,said,0.000309275754262
companies,body,0.000000555359918
date,companies,0.000004545668617
title,net,0.000008352545592
set,people,0.000001184188932
new,york,0.000003106253416
new,said,0.000148297811393
net,note,0.000084580708062
year,reuters,0.000009467724340
billion,said,0.000360276841093
net,body,0.000003544519586
title,york,0.000000238707855
said,new,0.000127829553094
said,billion,0.000451337167760
title,june,0.000000397463054
companies,new,0.000011880807506
said,shares,0.000143872632179
net,reuters,0.000013336513803
net,billion,0.000267730967607
new,body,0.000000953548295
market,said,0.000221254245844
april,said,0.000304029148538
body,net,0.000022337260816
net,year,0.000271550932666
said,bank,0.000305227003992
year,net,0.000286818569293
billion,year,0.000177475434612
title,washington,0.000000167194045
said,stock,0.000288812181680
stock,said,0.000265137612587
loss,year,0.000314347096719
year,body,0.000002516290806
said,market,0.000154511610162
company,reuters,0.000007940496289
shares,said,0.000195690212422
billion,reuters,0.000008716240700
companies,net,0.000063302497438
april,reuters,0.000007355431990
companies,says,0.000006977673820
oil,said,0.000383149657864
year,loss,0.000252000812907
companies,april,0.000022398731744
year,billion,0.000190064951312
companies,reuters,0.000002089581812
june,body,0.000000592410004
loss,note,0.000097910538898
net,sales,0.000155093410285
said,oil,0.000186105811736
said,share,0.000211916994886
said,training,0.000000394929884
trade,said,0.000257528823568
york,body,0.000000427068699
share,said,0.000202153853024
title,london,0.000000222483592
body,loss,0.000019625676941
title,author,0.000000002084002
companies,bank,0.000028368580388
group,said,0.000267809198704
said,set,0.000018715725673
said,agreement,0.000178720671101
loss,reuters,0.000015438330593
company,body,0.000002110390369
said,government,0.000046433502575
japan,people,0.000006209860203
said,offer,0.000077388351201
government,said,0.000128141386085
said,expected,0.000123138888739
canada,people,0.000002384369736
said,price,0.000056364202464
date,japan,0.000012964297639
loss,body,0.000004103132596
date,canada,0.000003680186865
said,trade,0.000239814224187
title,loss,0.000007338606338
march,net,0.000151999731315
york,said,0.000066418608185
says,title,0.000000137093849
canada,companies,0.000004963779702
companies,said,0.000086370724603
title,set,0.000000229519330
title,training,0.000000004843201
said,common,0.000115146605822
billion,body,0.000002316564178
washington,body,0.000000434030511
said,sales,0.000261454290012
date,money,0.000004813810847
officials,said,0.000090189067123
net,share,0.000125708131236
people,says,0.000005520206741
japan,companies,0.000012927681382
rose,billion,0.000093550079328
money,places,0.000000056301904
march,reuters,0.000005017429885
price,said,0.000147458340507
said,group,0.000213028659346
june,said,0.000092132824648
new,march,0.000021326379283
share,reuters,0.000004890743639
said,april,0.000240995461354
central,bank,0.000048912294005
common,stock,0.000077715572843
said,march,0.000133639259730
international,said,0.000166148063727
official,said,0.000122500176076
agreement,said,0.000317268742947
offer,said,0.000197996909264
title,bank,0.000003743135721
companies,sets,0.000008625233932
stock,reuters,0.000006414521522
said,board,0.000062229395553
companies,japan,0.000012322656403
sales,reuters,0.000007335676855
said,japan,0.000132583591039
common,shares,0.000038714242692
body,year,0.000015013343727
united,states,0.000004270219051
net,title,0.000000436701640
sales,said,0.000303212640574
west,germany,0.000002341676463
said,increase,0.000075665637269
money,people,0.000002646242365
record,reuters,0.000006745920018
said,debt,0.000065168722358
people,net,0.000050080143410
bank,title,0.000000245008607
shares,reuters,0.000004734366939
department,said,0.000123823891045
sales,year,0.000149365136167
body,billion,0.000014802148144
year,ago,0.000007679564078
debt,said,0.000122386787552
foreign,said,0.000141008291394
japan,said,0.000258424755884
march,year,0.000102162222902
week,said,0.000106203733594
expected,said,0.000162954223924
bank,reuters,0.000007482362889
said,statement,0.000023734080969
london,body,0.000000418919626
said,week,0.000054957465181
shares,stock,0.000060818070779
said,today,0.000069408633863
industry,said,0.000125079663121
companies,london,0.000001686164751
year,company,0.000135874171974
people,bank,0.000022443075068
march,loss,0.000133548033773
said,foreign,0.000059760564909
financial,said,0.000085694300651
loss,sales,0.000179535971256
bank,billion,0.000150208696141
places,japan,0.000000931627085
said,current,0.000104434155219
bank,body,0.000001988629720
body,bank,0.000010010287042
today,said,0.000145328929648
year,earlier,0.000026001440347
president,said,0.000091803100077
common,said,0.000250060169492
author,body,0.000000037385046
york,march,0.000009551511539
companies,year,0.000042546951590
companies,oil,0.000017297148588
stock,body,0.000001704823148
said,month,0.000081305333879
economic,said,0.000107387895696
told,reuters,0.000003385092214
title,year,0.000005613922895
years,said,0.000107919280708
billion,bank,0.000118333431601
january,said,0.000223326918785
said,financial,0.000046410579671
board,said,0.000161664778716
shares,company,0.000067944303737
companies,york,0.000001809125251
companies,june,0.000003012303068
said,international,0.000075304997154
note,net,0.000138536066515
said,cash,0.000050965489208
share,body,0.000001299840392
money,market,0.000018310120140
increase,said,0.000158164591994
billion,january,0.000043343359721
places,canada,0.000000264461704
company,year,0.000161680145538
people,new,0.000009399195733
companies,washington,0.000001267134849
world,said,0.000143582234159
share,company,0.000070188514655
sales,body,0.000001949643774
month,said,0.000196420995053
said,president,0.000028254462450
shares,body,0.000001258279440
sales,billion,0.000147263970575
said,business,0.000043301104597
march,billion,0.000100725083030
american,said,0.000095289178716
share,year,0.000099582699477
body,company,0.000010581798051
stock,company,0.000092056689027
companies,group,0.000019799428628
new,reuters,0.000003587794708
said,told,0.000076299409557
year,sales,0.000110102402687
said,meeting,0.000046705688874
said,sale,0.000106146428152
shares,common,0.000024247583497
business,said,0.000129368243506
said,tax,0.000065670552431
said,companies,0.000046487733925
said,january,0.000111799054139
said,issue,0.000021473208108
said,major,0.000102318677818
chairman,said,0.000152964261360
said,years,0.000049106456572
said,world,0.000064529413066
said,rise,0.000078132950875
national,said,0.000150509964442
said,plans,0.000052066065109
sets,title,0.000000177155698
billion,note,0.000055278756918
market,reuters,0.000005352841981
said,rose,0.000073660557973
net,tax,0.000038955440687
said,buy,0.000058746289142
end,said,0.000178419373697
loss,share,0.000145519603393
report,said,0.000087216227257
said,economic,0.000047109657316
earlier,said,0.000123686986626
companies,american,0.000002885692311
minister,said,0.000105781771708
company,share,0.000074846022471
rose,year,0.000094884846476
said,time,0.000043994099542
note,reuters,0.000004573001661
title,chicago,0.000000059215424
people,sets,0.000006823630429
march,april,0.000053783027397
said,report,0.000030677005270
companies,loss,0.000055618034821
year,march,0.000056277542171
title,date,0.000000226758345
said,earlier,0.000061744241975
japan,title,0.000000204724344
buy,said,0.000145031575812
current,said,0.000270185904810
said,end,0.000113942965982
rise,said,0.000173242355231
japan,places,0.000000132122068
germany,people,0.000001573638656
federal,said,0.000147950020619
commission,said,0.000093636124802
shares,share,0.000044625496230
date,trade,0.000023449540095
title,says,0.000000920679952
january,billion,0.000108465166704
time,said,0.000106210114609
january,year,0.000110012748337
cash,said,0.000119948403153
general,said,0.000139614057844
body,new,0.000004192324923
washington,march,0.000009707213394
canada,places,0.000000050730272
stock,shares,0.000041048526327
date,west,0.000003731350944
products,said,0.000199556234293
year,training,0.000000166310997
countries,said,0.000062499115302
companies,stock,0.000026842935767
trade,billion,0.000125076301629
pay,record,0.000059674173826
statement,said,0.000097984237073
west,people,0.000002302420853
company,shares,0.000050813730923
finance,said,0.000094773575256
new,title,0.000000117481683
year,share,0.000089241475507
said,net,0.000681092788000
said,industry,0.000022240405087
said,test,0.000003678303983
trade,places,0.000000131663995
said,commission,0.000032578027458
title,billion,0.000005534950560
companies,debt,0.000006056948678
rose,said,0.000192617138964
body,april,0.000007903735423
date,germany,0.000002220756869
title,group,0.000002612466233
said,products,0.000068441084295
company,stock,0.000102004261862
meeting,said,0.000192210500245
companies,canada,0.000003498043043
net,march,0.000079274177551
tax,said,0.000109779291961
said,countries,0.000020264824343
jan,net,0.000106748128019
pay,reuters,0.000005251757102
sales,net,0.000222229515202
billion,net,0.000264052796410
people,japan,0.000009748751836
sale,said,0.000267497845925
new,company,0.000051489507314
pay,april,0.000056294851674
new,april,0.000038458438212
said,continue,0.000025833880500
note,year,0.000093112998002
hong,kong,0.000000258488228
said,plan,0.000026130708648
said,based,0.000056108910940
debt,reuters,0.000002960924576
set,canada,0.000001995868843
share,stock,0.000062826882640
said,federal,0.000051514183724
note,share,0.000043104475481
june,reuters,0.000002228985295
said,cut,0.000032125873986
germany,companies,0.000003276000143
said,west,0.000038159865653
companies,market,0.000014360704881
market,body,0.000001422654918
companies,gets,0.000001558552640
long,term,0.000001772355176
said,money,0.000049229984143
record,body,0.000001792901003
said,program,0.000017518263121
rise,year,0.000085340638179
body,sales,0.000008574709682
said,high,0.000026971078114
said,long,0.000017831918740
set,money,0.000002610665206
title,test,0.000000045108699
body,stock,0.000009471941667
said,previously,0.000073678660556
note,body,0.000001215392217
bank,market,0.000051422732213
said,likely,0.000014792781258
oil,reuters,0.000009269605471
april,record,0.000083577600890
said,united,0.000047734181862
bank,japan,0.000044124899432
said,months,0.000046595941967
net,training,0.000000234270473
author,march,0.000000836126901
said,announced,0.000079964069300
said,american,0.000031048126402
title,pay,0.000001477482670
stock,share,0.000060462381953
title,japan,0.000001625932441
union,said,0.000073233532021
said,annual,0.000066237946157
billion,company,0.000125089340145
offer,shares,0.000030653820431
japan,trade,0.000066689470259
said,general,0.000028000094972
told,said,0.000139919313369
march,bank,0.000068117624323
set,japan,0.000007030904726
body,international,0.000002469718083
training,money,0.000000240161853
debt,body,0.000000786941598
said,contract,0.000015115949282
west,said,0.000095815797977
year,note,0.000060044712882
central,said,0.000148917912156
tax,reuters,0.000002655908929
share,shares,0.000031297400710
body,group,0.000006986532298
london,march,0.000009369255167
companies,money,0.000004575560524
london,said,0.000065151252784
term,said,0.000080649784650
said,term,0.000027329791919
trade,japan,0.000036742072552
policy,said,0.000060920672695
major,said,0.000155285699293
market,bank,0.000072671260568
price,reuters,0.000003567485692
reuters,money,0.000003453429599
said,chairman,0.000041681883886
state,said,0.000071280919656
earlier,year,0.000060929243773
title,sales,0.000003206332167
current,year,0.000133095876663
billion,debt,0.000025265257136
body,record,0.000008378187886
money,said,0.000110123983177
program,said,0.000104463710159
said,official,0.000031601382943
companies,issues,0.000000906554931
body,note,0.000004676247045
companies,trade,0.000022288950277
year,bank,0.000128535742988
april,training,0.000000129206214
said,officials,0.000020105930162
said,record,0.000255462131463
said,increased,0.000051256847655
cut,said,0.000065545202233
reuters,body,0.000000419160955
net,said,0.000551250996068
months,said,0.000116790339234
said,national,0.000122776575154
firm,said,0.000063959480030
title,international,0.000000923498988
people,march,0.000009826379937
said,date,0.000018490585717
april,march,0.000043721756811
common,share,0.000057024099078
based,said,0.000093979186204
companies,billion,0.000041948431317
title,oil,0.000002282298510
said,non,0.000025926521630
group,title,0.000000212158682
contract,said,0.000042616058636
said,proposed,0.000044330023229
said,june,0.000032410382119
companies,buy,0.000005460028660
united,said,0.000129666732391
foreign,billion,0.000068484740041
day,said,0.000079349920270
net,company,0.000191396233276
march,company,0.000072006616392
people,group,0.000015663807062
training,canada,0.000000183605195
high,said,0.000103365047835
people,reuters,0.000001653118716
agency,said,0.000050612459745
said,including,0.000021012676370
said,talks,0.000034401149605
world,bank,0.000047159785026
