source,target,weight
training,companies,54888.000000000000000
companies,training,29702.000000000000000
companies,washington,5306.000000000000000
companies,international,4679.000000000000000
companies,agreement,3485.000000000000000
companies,government,3431.000000000000000
international,companies,3218.000000000000000
government,companies,3200.000000000000000
companies,american,3189.000000000000000
companies,president,3169.000000000000000
companies,financial,3045.000000000000000
agreement,companies,3005.000000000000000
expected,companies,2953.000000000000000
companies,expected,2938.000000000000000
companies,national,2693.000000000000000
financial,companies,2478.000000000000000
companies,increase,2478.000000000000000
companies,chairman,2463.000000000000000
companies,official,2332.000000000000000
increase,companies,2298.000000000000000
companies,commission,2263.000000000000000
companies,contract,2251.000000000000000
companies,business,2246.000000000000000
companies,products,2111.000000000000000
business,companies,2108.000000000000000
american,companies,2085.000000000000000
companies,minister,2069.000000000000000
president,companies,2000.000000000000000
international,training,2000.000000000000000
training,washington,1952.000000000000000
products,companies,1929.000000000000000
companies,statement,1919.000000000000000
national,companies,1886.000000000000000
companies,industry,1829.000000000000000
commission,companies,1819.000000000000000
agreement,training,1806.000000000000000
government,training,1794.000000000000000
companies,economic,1781.000000000000000
companies,canadian,1780.000000000000000
industry,companies,1749.000000000000000
expected,training,1744.000000000000000
official,companies,1709.000000000000000
companies,department,1696.000000000000000
companies,announced,1675.000000000000000
companies,reported,1641.000000000000000
contract,companies,1639.000000000000000
training,international,1568.000000000000000
companies,european,1550.000000000000000
financial,training,1533.000000000000000
companies,officials,1522.000000000000000
statement,companies,1516.000000000000000
washington,companies,1486.000000000000000
december,companies,1484.000000000000000
companies,december,1445.000000000000000
officials,companies,1443.000000000000000
companies,previously,1429.000000000000000
reported,companies,1412.000000000000000
companies,proposed,1411.000000000000000
announced,companies,1398.000000000000000
increase,training,1393.000000000000000
canadian,companies,1371.000000000000000
american,training,1352.000000000000000
including,companies,1351.000000000000000
department,companies,1324.000000000000000
president,training,1309.000000000000000
countries,companies,1298.000000000000000
chairman,companies,1287.000000000000000
companies,increased,1286.000000000000000
increased,companies,1269.000000000000000
economic,companies,1263.000000000000000
business,training,1226.000000000000000
companies,including,1214.000000000000000
products,training,1191.000000000000000
companies,previous,1175.000000000000000
national,training,1173.000000000000000
previous,companies,1164.000000000000000
training,american,1142.000000000000000
commission,training,1120.000000000000000
services,companies,1118.000000000000000
continue,companies,1110.000000000000000
contract,training,1101.000000000000000
companies,services,1089.000000000000000
domestic,companies,1083.000000000000000
companies,countries,1070.000000000000000
training,agreement,1062.000000000000000
official,training,1054.000000000000000
proposed,companies,1045.000000000000000
washington,training,1039.000000000000000
companies,executive,1035.000000000000000
previously,companies,1034.000000000000000
companies,domestic,1013.000000000000000
companies,committee,991.000000000000000
companies,following,987.000000000000000
training,president,973.000000000000000
companies,insurance,956.000000000000000
companies,continue,956.000000000000000
training,financial,956.000000000000000
australia,companies,947.000000000000000
companies,received,933.000000000000000
statement,training,929.000000000000000
additional,companies,926.000000000000000
december,training,920.000000000000000
september,companies,914.000000000000000
industry,training,913.000000000000000
companies,australian,909.000000000000000
training,government,902.000000000000000
european,companies,893.000000000000000
reported,training,884.000000000000000
european,community,883.000000000000000
announced,training,875.000000000000000
companies,secretary,866.000000000000000
currently,companies,859.000000000000000
officials,training,855.000000000000000
insurance,companies,853.000000000000000
chairman,training,853.000000000000000
training,expected,835.000000000000000
department,training,834.000000000000000
training,national,830.000000000000000
including,training,827.000000000000000
executive,companies,826.000000000000000
companies,conference,825.000000000000000
received,companies,820.000000000000000
possible,companies,819.000000000000000
companies,australia,816.000000000000000
companies,additional,814.000000000000000
economic,government,802.000000000000000
economic,training,802.000000000000000
companies,september,800.000000000000000
government,economic,793.000000000000000
canadian,training,787.000000000000000
following,companies,781.000000000000000
committee,companies,774.000000000000000
minister,companies,774.000000000000000
training,chairman,774.000000000000000
government,officials,769.000000000000000
companies,community,769.000000000000000
increased,training,761.000000000000000
countries,training,760.000000000000000
companies,possible,755.000000000000000
companies,research,745.000000000000000
companies,currently,742.000000000000000
training,official,740.000000000000000
companies,chemical,727.000000000000000
training,contract,727.000000000000000
companies,according,723.000000000000000
companies,corporate,722.000000000000000
training,commission,717.000000000000000
companies,communications,714.000000000000000
previous,training,713.000000000000000
international,agreement,708.000000000000000
