source,target,weight
net,loss,0.000044220454583
loss,net,0.000046119257604
company,said,0.000170197512489
year,said,0.000189367958228
net,note,0.000020283114281
said,year,0.000098814911325
said,company,0.000211366568692
net,billion,0.000079188655945
net,year,0.000054116630054
year,net,0.000053935338656
bank,said,0.000156016234541
year,loss,0.000032001113141
loss,year,0.000033487416658
net,sales,0.000031249423046
loss,note,0.000012551209693
said,shares,0.000135354363010
market,said,0.000106529398181
billion,said,0.000264907197561
oil,said,0.000112297660962
said,billion,0.000144595323945
said,oil,0.000128872736241
billion,year,0.000054784759413
shares,said,0.000135111069540
trade,said,0.000083287712187
said,stock,0.000073030823842
stock,said,0.000107780600956
said,share,0.000121733581182
said,new,0.000155332600116
year,billion,0.000057306580857
said,market,0.000130147280288
said,bank,0.000162462718436
share,said,0.000136415066663
net,share,0.000066668188083
new,said,0.000121133838547
group,said,0.000171263018274
said,offer,0.000143312281580
said,trade,0.000067942179157
said,agreement,0.000074136522016
said,expected,0.000065555650508
said,price,0.000090139881650
offer,said,0.000107865649625
rose,billion,0.000014865288904
said,group,0.000131221298943
loss,sales,0.000019337163394
price,said,0.000070132220571
department,said,0.000042273950385
government,said,0.000076077376434
march,said,0.000129602267407
said,government,0.000065609070589
central,bank,0.000019960205464
officials,said,0.000041885177779
agreement,said,0.000095883413451
said,sales,0.000057060249674
said,board,0.000060664911871
official,said,0.000044577063818
note,net,0.000016649451936
united,states,0.000003433723350
said,japan,0.000098885306215
said,common,0.000050478971389
said,march,0.000142461547512
common,stock,0.000008495422662
said,april,0.000119910742796
said,increase,0.000057652592659
jan,net,0.000008722526218
japan,said,0.000064853993536
net,tax,0.000050080358051
sales,said,0.000071130438300
april,said,0.000151003405335
billion,note,0.000020533536372
common,shares,0.000015745299606
loss,share,0.000041254330426
january,said,0.000074752038927
week,said,0.000098149525002
international,said,0.000094241120678
said,today,0.000086224135885
today,said,0.000076769996667
year,ago,0.000014982058019
sales,year,0.000014710301002
industry,said,0.000070744841651
expected,said,0.000058296278439
said,week,0.000104906379420
share,year,0.000028211643439
said,current,0.000064539824962
foreign,said,0.000047233759688
money,market,0.000020973675419
billion,january,0.000023327240342
said,statement,0.000032759231544
shares,stock,0.000020650990336
said,cash,0.000067719025537
year,company,0.000083769613411
said,sale,0.000062521852669
said,january,0.000042075193051
new,york,0.000021519850634
trade,billion,0.000025204557460
sales,billion,0.000021525524062
share,company,0.000060345126258
buy,said,0.000060488848248
january,year,0.000015459276256
said,rise,0.000081290861999
year,earlier,0.000027372045224
bank,billion,0.000047213707148
note,share,0.000014893172192
board,said,0.000082982340246
billion,bank,0.000090072258899
sales,net,0.000020259192752
year,note,0.000014678331354
economic,said,0.000042006395233
company,share,0.000043361804273
rise,said,0.000061248996644
said,foreign,0.000063052444602
said,report,0.000049558933824
increase,said,0.000043577681936
note,year,0.000012089249140
pay,april,0.000020447594579
year,share,0.000048245914513
report,said,0.000022788941351
common,said,0.000055582131608
pay,record,0.000022027654268
said,month,0.000074545510870
january,billion,0.000022621485186
said,meeting,0.000044666183385
billion,net,0.000075450217992
month,said,0.000059169691667
said,buy,0.000076787975559
said,major,0.000040550083213
world,said,0.000054316013120
financial,said,0.000054885254940
