source,target,weight
people,companies,0.495873689651489
places,people,0.374381005764008
date,places,0.611430406570435
reuters,date,0.517041563987732
places,companies,0.352518975734711
companies,title,0.575851380825043
date,people,0.579915463924408
people,title,0.435236006975174
set,date,0.467415839433670
reuters,set,0.818591952323914
reuters,training,0.795873105525970
training,date,0.255767822265625
body,reuters,0.775819540023804
set,places,0.635305762290955
title,body,0.443256109952927
training,places,0.347636431455612
date,usa,0.430002152919769
usa,people,0.391920953989029
usa,companies,0.369034677743912
training,set,0.404937237501144
body,set,0.639903068542480
body,training,0.622143447399139
title,march,0.436267167329788
reuters,places,0.702756583690643
body,date,0.404177635908127
places,usa,0.277599990367889
usa,places,0.413219332695007
reuters,test,0.573819994926453
test,date,0.231602534651756
march,body,1.289379239082336
set,usa,0.446793109178543
training,usa,0.244483053684235
said,reuters,1.728673338890076
body,said,0.725918114185333
company,said,2.074025154113770
places,title,0.309411436319351
title,april,0.455887496471405
net,loss,0.808615982532501
title,said,0.454752445220947
said,body,1.576592683792114
loss,net,1.416965484619141
year,said,1.518622398376465
said,year,1.248122692108154
title,reuters,0.486013501882553
said,company,1.334867715835571
march,said,1.322820901870728
april,body,0.947407186031342
test,set,0.366678386926651
test,training,0.356501698493958
companies,march,0.931286573410034
title,new,0.372116923332214
test,places,0.314791351556778
body,test,0.448561787605286
bank,said,1.214983701705933
companies,body,0.946206092834473
date,companies,0.546051621437073
title,net,0.470953524112701
set,people,0.602560281753540
new,york,0.695276379585266
new,said,0.911110520362854
net,note,1.523595929145813
year,reuters,1.623016715049744
billion,said,1.088383555412292
net,body,1.025045037269592
title,york,0.347025573253632
said,new,1.323561191558838
said,billion,1.784374117851257
title,june,0.364861667156219
companies,new,0.794346988201141
said,shares,1.390937924385071
net,reuters,1.123922824859619
net,billion,1.160136938095093
new,body,0.888077199459076
market,said,1.598858714103699
april,said,0.971979320049286
body,net,0.751779556274414
net,year,0.811485588550568
said,bank,1.618713974952698
year,net,1.572724938392639
billion,year,0.839845538139343
title,washington,0.275947600603104
said,stock,1.467659473419189
stock,said,1.219366669654846
loss,year,1.055781006813049
year,body,1.480230808258057
said,market,2.088891506195068
company,reuters,2.216598987579346
shares,said,1.337646961212158
billion,reuters,1.163201808929443
companies,net,1.005330801010132
april,reuters,1.038795948028564
companies,says,0.667375147342682
oil,said,1.113905429840088
year,loss,1.167693376541138
companies,april,0.973169207572937
year,billion,1.675312280654907
companies,reuters,1.037478804588318
june,body,0.994168221950531
loss,note,1.982270121574402
net,sales,0.718614399433136
said,oil,1.767040133476257
said,share,1.519590377807617
said,training,1.386253476142883
trade,said,1.125651240348816
york,body,0.549450635910034
share,said,0.957631707191467
title,london,0.378926306962967
body,loss,0.558170020580292
title,author,0.340027928352356
companies,bank,0.971485614776611
group,said,1.322442054748535
said,set,1.425825238227844
said,agreement,1.446916818618774
loss,reuters,1.462276458740234
company,body,2.021592617034912
said,government,1.832895278930664
japan,people,1.063140988349915
said,offer,1.520364999771118
government,said,0.932791411876678
said,expected,1.683279633522034
canada,people,0.527881324291229
said,price,1.227932810783386
