source,target,weight
people,companies,1.821571111679077
places,people,1.346943855285645
date,places,0.273027300834656
reuters,date,0.533013820648193
places,companies,2.555270195007324
companies,title,0.289305150508881
date,people,0.739532113075256
people,title,0.467537134885788
set,date,0.777785718441010
reuters,set,0.458334803581238
reuters,training,0.226709127426147
training,date,2.404919147491455
body,reuters,1.626719474792480
set,places,0.268118917942047
title,body,1.182861924171448
training,places,0.829025864601135
date,usa,0.397753179073334
usa,people,1.530593752861023
usa,companies,2.903670549392700
training,set,2.067974090576172
body,set,1.267912387847900
body,training,0.627155959606171
title,march,4.079766273498535
reuters,places,0.183740898966789
body,date,1.474500417709351
places,usa,0.724446356296539
usa,places,0.565078735351562
reuters,test,0.288171619176865
test,date,1.144182324409485
march,body,0.291012555360794
set,usa,0.390602409839630
training,usa,1.207746267318726
said,reuters,0.272809535264969
body,said,5.939786434173584
company,said,1.835167884826660
places,title,0.655853748321533
title,april,3.866173028945923
net,loss,1.166269779205322
title,said,8.187283515930176
said,body,0.143916904926300
loss,net,0.917525470256805
year,said,1.014548540115356
said,year,0.627626299858093
title,reuters,2.242238521575928
said,company,0.683533191680908
march,said,2.014269590377808
april,body,0.245557665824890
test,set,0.983874142169952
test,training,0.486660093069077
companies,march,1.277325987815857
title,new,4.927706718444824
test,places,0.394423305988312
body,test,0.797182321548462
bank,said,1.393578886985779
companies,body,0.370339870452881
date,companies,1.402957558631897
title,net,5.528402805328369
set,people,0.726236939430237
new,york,0.345441311597824
new,said,1.698773384094238
net,note,0.909258544445038
year,reuters,0.277852743864059
billion,said,1.519027709960938
net,body,0.227656945586205
title,york,1.664863705635071
said,new,0.599546074867249
said,billion,0.672405242919922
title,june,2.589972496032715
companies,new,1.542805910110474
said,shares,0.567116916179657
net,reuters,0.431547462940216
net,billion,1.063653826713562
new,body,0.245431065559387
market,said,1.597020745277405
april,said,1.699649333953857
body,net,4.010797023773193
net,year,0.992819547653198
said,bank,0.757448494434357
year,net,0.685066163539886
billion,year,0.957082271575928
title,washington,1.370815515518188
said,stock,0.583529114723206
stock,said,1.846637487411499
loss,year,0.856134474277496
year,body,0.146577388048172
said,market,0.630160152912140
company,reuters,0.502594292163849
shares,said,1.876010775566101
billion,reuters,0.416013538837433
companies,net,1.730876445770264
april,reuters,0.465480118989944
companies,says,0.873764514923096
oil,said,1.895885825157166
year,loss,0.750905036926270
companies,april,1.210452437400818
year,billion,0.684835314750671
companies,reuters,0.702017843723297
june,body,0.469962835311890
loss,note,0.784077465534210
net,sales,0.806646347045898
said,oil,0.463667452335358
said,share,0.513538420200348
said,training,0.105177342891693
trade,said,1.706445932388306
york,body,0.414867460727692
share,said,1.512872815132141
title,london,2.181149959564209
body,loss,4.396257877349854
title,author,0.683394372463226
companies,bank,1.949135184288025
group,said,1.908921003341675
said,set,0.212635666131973
said,agreement,0.450460702180862
loss,reuters,0.372134715318680
company,body,0.265136718750000
said,government,0.470837295055389
japan,people,0.419085472822189
said,offer,0.519167244434357
government,said,2.670972347259521
said,expected,0.367456674575806
canada,people,0.690411269664764
said,price,0.455920070409775
date,japan,1.833536624908447
loss,body,0.196314603090286
date,canada,0.926280260086060
said,trade,0.469585478305817
title,loss,6.059715747833252
march,net,1.360120534896851
york,said,2.871542692184448
says,title,0.226732805371284
canada,companies,1.309770822525024
companies,said,2.563340902328491
title,set,1.747665882110596
title,training,0.864459276199341
said,common,0.374240159988403
billion,body,0.219462245702744
washington,body,0.516736149787903
said,sales,0.509934067726135
date,money,1.274966716766357
officials,said,2.341617822647095
net,share,0.812347888946533
people,says,1.412063837051392
japan,companies,0.795041978359222
rose,billion,1.617847442626953
money,places,0.216499999165535
march,reuters,0.551644682884216
price,said,2.097778797149658
said,group,0.453330039978027
june,said,3.252889633178711
new,march,0.846507608890533
share,reuters,0.414327919483185
said,april,0.470390856266022
central,bank,2.122997999191284
common,stock,1.271136164665222
said,march,0.496378630399704
international,said,1.964159250259399
official,said,2.599658012390137
agreement,said,2.931084394454956
offer,said,2.836987495422363
title,bank,6.225516796112061
companies,sets,0.846293151378632
stock,reuters,0.505735516548157
said,board,0.493061691522598
companies,japan,1.473096847534180
sales,reuters,0.529124319553375
said,japan,0.572456598281860
common,shares,1.235383987426758
body,year,3.742437601089478
united,states,1.003478407859802
net,title,0.177843004465103
sales,said,1.932038784027100
west,germany,0.615873098373413
said,increase,0.439819365739822
money,people,0.586420238018036
record,reuters,0.467490732669830
said,debt,0.367894470691681
people,net,2.797216415405273
bank,title,0.157282844185829
shares,reuters,0.513779938220978
department,said,2.151341676712036
sales,year,1.217305302619934
body,billion,4.009443759918213
year,ago,0.342058718204498
debt,said,2.196261405944824
foreign,said,1.824315905570984
japan,said,1.808049201965332
march,year,1.269115924835205
week,said,2.810022830963135
expected,said,2.651622533798218
bank,reuters,0.381657123565674
said,statement,0.405950337648392
london,body,0.437779754400253
said,week,0.515028715133667
shares,stock,1.098955988883972
said,today,0.376782387495041
industry,said,1.716540455818176
companies,london,0.682891845703125
year,company,0.696169197559357
people,bank,3.149937152862549
march,loss,1.490836381912231
said,foreign,0.311919152736664
financial,said,2.774482965469360
loss,sales,0.695592343807220
bank,billion,0.940686643123627
places,japan,3.339503765106201
said,current,0.483065843582153
bank,body,0.201337978243828
body,bank,4.516545295715332
today,said,2.249871015548706
year,earlier,0.435012161731720
president,said,2.615639448165894
common,said,2.169936418533325
author,body,1.418535113334656
york,march,1.430904626846313
companies,year,1.615064978599548
companies,oil,1.193151116371155
stock,body,0.266793847084045
said,month,0.403492540121078
economic,said,2.995350122451782
told,reuters,0.783718705177307
title,year,5.158500671386719
years,said,2.641626119613647
billion,bank,1.155050992965698
january,said,2.345909118652344
said,financial,0.245685160160065
board,said,2.253459692001343
shares,company,1.287292957305908
companies,york,0.521248936653137
companies,june,0.810889065265656
said,international,0.429614871740341
note,net,1.783056378364563
said,cash,0.310697764158249
share,body,0.218573018908501
money,market,1.600478649139404
increase,said,1.873127341270447
billion,january,0.604315042495728
places,canada,1.687076687812805
company,year,1.156270027160645
people,new,2.493281126022339
companies,washington,0.429185956716537
world,said,3.408539056777954
share,company,1.038112521171570
sales,body,0.279132246971130
month,said,2.287670612335205
said,president,0.359504580497742
shares,body,0.271037548780441
sales,billion,1.304155230522156
said,business,0.366602063179016
march,billion,1.359662294387817
american,said,2.518855571746826
share,year,0.953204274177551
body,company,4.075803756713867
stock,company,1.267137289047241
companies,group,1.166549563407898
new,reuters,0.465240180492401
said,told,0.320371508598328
year,sales,0.519360780715942
said,meeting,0.366744607686996
said,sale,0.602932035923004
shares,common,0.704803466796875
business,said,1.901180863380432
said,tax,0.411456823348999
said,companies,0.438023477792740
said,january,0.396292001008987
said,issue,0.189071938395500
said,major,0.336407244205475
chairman,said,3.160320281982422
said,years,0.305269390344620
said,world,0.317692756652832
said,rise,0.502038419246674
national,said,2.527934789657593
said,plans,0.305478125810623
sets,title,0.291093766689301
billion,note,0.876528918743134
