source,target,weight
https,www,0.150021299719810
www,entry,0.153524458408356
https,entry,0.182636827230453
www,huffingtonpost,0.065826572477818
huffingtonpost,entry,0.099157109856606
https,huffingtonpost,0.078309059143066
www,huffpost,0.296236842870712
https,huffpost,0.352411329746246
huffpost,entry,0.311569958925247
entry,trump,0.204879492521286
www,trump,0.204792112112045
huffingtonpost,trump,0.132269471883774
world,news,0.211699306964874
donald,trump,0.347930580377579
https,trump,0.243626162409782
trump,politics,0.126178383827209
huffpost,trump,0.415614873170853
lee,moran,0.897258341312408
entry,for,0.180265039205551
mary,papenfuss,1.269043207168579
for,politics,0.190781027078629
entry,donald,0.393607407808304
www,donald,0.393439501523972
queer,voices,0.520610809326172
entry,new,0.327707737684250
for,and,0.189868703484535
white,house,0.900281369686127
politics,and,0.188196301460266
entry,and,0.131615817546844
ron,dicker,0.788211822509766
news,and,0.219596907496452
politics,president,0.380329877138138
black,voices,0.397991180419922
and,for,0.249614477157593
trump,for,0.171991243958473
new,york,1.014234900474548
huffingtonpost,donald,0.254111528396606
entry,with,0.258300065994263
https,donald,0.468046247959137
politics,trump,0.292955368757248
www,new,0.327567875385284
entertainment,and,0.274750322103500
politics,that,0.353405117988586
entry,what,0.248234629631042
politics,for,0.257759332656860
entry,biden,0.523597538471222
curtis,wong,0.801979720592499
trump,and,0.125574916601181
david,moye,0.728509306907654
politics,said,0.437961339950562
stephen,colbert,1.182173013687134
entry,says,0.214998513460159
for,news,0.286572933197021
entry,how,0.517954587936401
entry,news,0.198650628328323
entry,from,0.452084600925446
entry,black,0.297020852565765
more,than,0.868984818458557
nina,golgowski,2.634838819503784
and,politics,0.183125331997871
year,old,1.287039637565613
fox,news,0.591814339160919
huffpost,biden,1.062160611152649
huffingtonpost,for,0.116378441452980
entry,after,0.356818526983261
this,week,0.824245035648346
with,and,0.127439051866531
joe,biden,1.560257673263550
entry,white,0.276827871799469
weird,news,0.802824497222900
after,news,0.532241940498352
with,entertainment,0.233397603034973
politics,have,0.362133979797363
elyse,wanshel,1.878435730934143
that,and,0.192584663629532
trump,his,0.355364888906479
entry,john,0.483476430177689
news,was,0.426623880863190
entry,house,0.381185680627823
politics,has,0.441915214061737
has,been,1.066988110542297
news,for,0.300766617059708
for,entertainment,0.347733974456787
https,new,0.389683663845062
and,entertainment,0.333780020475388
nick,visser,1.679898142814636
entry,coronavirus,0.491612225770950
jenna,amatulli,1.587710857391357
huffingtonpost,new,0.211566939949989
politics,are,0.436000555753708
with,politics,0.128051489591599
entry,covid,0.692206323146820
www,biden,0.523374259471893
www,for,0.180188104510307
www,how,0.517733693122864
www,what,0.248128801584244
entry,first,0.351603716611862
huffpost,donald,0.798465013504028
entry,women,0.360477089881897
for,his,0.537309885025024
huffpost,coronavirus,0.997275710105896
entry,are,0.304918706417084
huffingtonpost,and,0.084970690310001
entry,world,0.272448927164078
entry,this,0.151476755738258
and,are,0.422223687171936
news,has,0.515648901462555
for,trump,0.295558691024780
after,politics,0.354330897331238
and,that,0.342238098382950
and,with,0.357670426368713
north,korea,0.800105512142181
www,and,0.131559669971466
entry,stephen,0.393109411001205
entry,gop,0.273907452821732
huffpost,new,0.664781868457794
new,and,0.195218458771706
www,john,0.483270227909088
and,said,0.424122512340546
dominique,mosbergen,0.737464666366577
hayley,miller,0.835197806358337
entry,sexual,0.500799417495728
news,said,0.511035561561584
huffpost,covid,1.404197335243225
alanna,vagianos,2.597580432891846
world,and,0.140261203050613
politics,was,0.365620076656342
have,been,0.995106101036072
politics,his,0.532577157020569
and,his,0.515748620033264
https,biden,0.622620105743408
cole,delbyck,2.620439767837524
politics,new,0.468586266040802
has,for,0.429776281118393
entry,michael,0.243491649627686
trump,donald,0.375541746616364
and,reuters,0.414879947900772
entry,russia,0.326224476099014
carly,ledbetter,1.635788083076477
supreme,court,2.337999582290649
entry,democrats,0.467668831348419
are,and,0.155429214239120
huffpost,for,0.365682214498520
are,for,0.212880641222000
about,politics,0.239621341228485
politics,from,0.646431744098663
politics,house,0.545054018497467
his,and,0.342050850391388
politics,former,0.543121933937073
www,coronavirus,0.491402536630630
huffingtonpost,john,0.312130630016327
house,politics,0.393431961536407
over,politics,0.298703372478485
news,that,0.412370920181274
entry,dead,0.366350829601288
was,and,0.224485546350479
entertainment,that,0.515941023826599
has,and,0.313790082931519
entry,best,0.427830278873444
entry,gay,0.441508859395981
entry,california,0.464719206094742
trump,white,0.264122098684311
trump,says,0.205130591988564
huffingtonpost,what,0.160259410738945
entry,man,0.406044185161591
about,and,0.238475486636162
www,black,0.296894192695618
https,how,0.615909934043884
entry,jimmy,0.406655222177505
sexual,harassment,1.836181879043579
trump,president,0.253777086734772
entry,tax,0.434491932392120
huffingtonpost,white,0.178719103336334
for,her,0.328062981367111
that,have,0.370578229427338
entry,you,0.243345573544502
sara,boboltz,2.078389406204224
with,for,0.174544423818588
entry,colbert,0.375848263502121
her,entertainment,0.401137381792068
entry,james,0.211532771587372
trump,with,0.246444657444954
jimmy,kimmel,1.413733243942261
huffingtonpost,black,0.191755622625351
for,world,0.393034249544144
entry,police,0.479605436325073
entry,out,0.242186963558197
entry,florida,0.449402987957001
www,covid,0.691911041736603
entry,will,0.363713413476944
new,for,0.267377048730850
https,john,0.574911296367645
entry,fox,0.325518131256104
politics,this,0.216595262289047
entry,that,0.247155278921127
politics,would,0.446650326251984
trump,new,0.312666624784470
politics,who,0.288087904453278
andy,mcdonald,0.623612642288208
huffingtonpost,sexual,0.323314309120178
black,panther,0.809858202934265
out,for,0.524947464466095
president,trump,0.633781373500824
trump,house,0.363690137863159
and,from,0.626005589962006
entry,joe,0.581457138061523
politics,they,0.404806822538376
from,and,0.166987001895905
entry,not,0.346765339374542
people,are,0.534378349781036
entry,year,0.466712772846222
www,white,0.276709794998169
www,first,0.351453781127930
his,politics,0.343694329261780
for,women,0.520023524761200
entry,has,0.309055149555206
trump,comedy,0.298395693302155
www,sexual,0.500585734844208
huffingtonpost,this,0.097792856395245
entry,who,0.201475396752357
and,trump,0.283698529005051
entry,over,0.387457787990570
ryan,grenoble,1.166607260704041
entertainment,star,0.417416363954544
marina,fang,1.097993731498718
have,for,0.400822639465332
style,beauty,1.870217442512512
funniest,tweets,1.277006745338440
from,women,0.457353770732880
entertainment,was,0.533773720264435
for,this,0.218520030379295
entry,president,0.265985190868378
says,politics,0.220466867089272
climate,change,0.980148315429688
what,you,0.471810549497604
www,california,0.464520990848541
entry,bill,0.293138206005096
seth,meyers,3.617094993591309
carla,herreria,1.156985878944397
huffingtonpost,house,0.246092095971107
huffingtonpost,says,0.138802289962769
daniel,marans,4.071371078491211
world,has,0.329355895519257
president,and,0.407144933938980
from,politics,0.167789429426193
entry,american,0.424021750688553
from,this,0.192185521125793
www,from,0.451891809701920
and,have,0.350691169500351
www,michael,0.243387788534164
entry,republicans,0.441455304622650
entry,why,0.473231762647629
entry,people,0.693296194076538
entry,most,0.363847643136978
and,new,0.453779786825180
was,for,0.307462304830551
politics,but,0.397574871778488
https,what,0.295180678367615
trump,news,0.189533039927483
entry,north,0.242166891694069
willa,frej,2.596233129501343
stormy,daniels,1.936557769775391
entry,national,0.326647073030472
www,russia,0.326085358858109
gop,politics,0.689072906970978
out,and,0.383276849985123
news,were,0.572368443012238
politics,state,0.684892177581787
josephine,harvey,3.834814071655273
biden,politics,0.567412137985229
entry,court,0.661540508270264
you,your,0.794034302234650
world,for,0.192106008529663
entry,death,0.406815111637115
with,his,0.360640138387680
www,best,0.427647799253464
says,for,0.300514161586761
and,was,0.354067116975784
entry,school,0.383266091346741
www,says,0.214906811714172
entry,mike,0.247766599059105
