source,target,weight
https,www,0.000431267631939
www,entry,0.000321614410495
https,entry,0.000563784502447
www,huffingtonpost,0.000447640341008
huffingtonpost,entry,0.000266028742772
https,huffingtonpost,0.000784705742262
www,huffpost,0.000023864426112
https,huffpost,0.000041833925934
huffpost,entry,0.000065476953750
entry,trump,0.000211715363548
www,trump,0.000142303659231
huffingtonpost,trump,0.000117708856123
world,news,0.000007627904324
donald,trump,0.000036872475903
https,trump,0.000249455828452
trump,politics,0.000093434944574
huffpost,trump,0.000028971373467
lee,moran,0.000011955426089
entry,for,0.000230413963436
mary,papenfuss,0.000000936740946
for,politics,0.000089092740382
entry,donald,0.000054985575844
www,donald,0.000036958335841
queer,voices,0.000012873587366
entry,new,0.000067439381382
for,and,0.000078974524513
white,house,0.000003467290753
politics,and,0.000053666106396
entry,and,0.000192172417883
ron,dicker,0.000006016985935
news,and,0.000050132537581
politics,president,0.000014454110897
black,voices,0.000008753238035
and,for,0.000080359001004
trump,for,0.000099305165350
new,york,0.000001754961204
huffingtonpost,donald,0.000030570707167
entry,with,0.000089688539447
https,donald,0.000064787316660
politics,trump,0.000059123689425
www,new,0.000045329117711
entertainment,and,0.000034761647839
politics,that,0.000019862369300
entry,what,0.000018006097889
politics,for,0.000064345447754
entry,biden,0.000006931180451
curtis,wong,0.000001122234266
trump,and,0.000082823586126
david,moye,0.000001156067015
politics,said,0.000018466647816
stephen,colbert,0.000000634269099
entry,says,0.000117337614938
for,news,0.000030570758099
entry,how,0.000024518634746
entry,news,0.000074389266956
entry,from,0.000041507184505
entry,black,0.000045702476200
more,than,0.000005106986009
nina,golgowski,0.000000512956831
and,politics,0.000075608753832
year,old,0.000001592898911
fox,news,0.000006206210401
huffpost,biden,0.000000948470756
huffingtonpost,for,0.000128104817122
entry,after,0.000049380563723
this,week,0.000001045182103
with,and,0.000047231631470
joe,biden,0.000000235350342
entry,white,0.000048908546887
weird,news,0.000004253191946
after,news,0.000010175531315
with,entertainment,0.000017721928089
politics,have,0.000017019701772
elyse,wanshel,0.000001323272045
that,and,0.000023814895030
trump,his,0.000018550927052
entry,john,0.000015962372345
news,was,0.000014284058125
entry,house,0.000030928891647
politics,has,0.000013145822777
has,been,0.000002482589707
news,for,0.000060108704929
for,entertainment,0.000029632274163
https,new,0.000079461155110
and,entertainment,0.000025147499400
nick,visser,0.000000237247079
entry,coronavirus,0.000007950279723
jenna,amatulli,0.000000147336820
huffingtonpost,new,0.000037494730350
politics,are,0.000014347933757
with,politics,0.000053282943554
entry,covid,0.000010826645848
www,biden,0.000004658766102
www,for,0.000154871828272
www,how,0.000016480102204
www,what,0.000012102728761
entry,first,0.000027038480766
huffpost,donald,0.000007524287867
entry,women,0.000037992260332
for,his,0.000017688806111
huffpost,coronavirus,0.000001087925170
entry,are,0.000051378363423
huffingtonpost,and,0.000106843406684
entry,world,0.000043718864617
entry,this,0.000054361644288
and,are,0.000017918684534
news,has,0.000012280253941
for,trump,0.000087005842943
after,politics,0.000029654673199
and,that,0.000024805493013
and,with,0.000031279716495
north,korea,0.000000046015320
www,and,0.000129167921841
entry,stephen,0.000010084244423
entry,gop,0.000018202263163
huffpost,new,0.000009228479939
new,and,0.000030258774132
www,john,0.000010729047062
and,said,0.000023062419132
dominique,mosbergen,0.000000493515245
hayley,miller,0.000000843720045
entry,sexual,0.000011052002264
news,said,0.000017250737073
huffpost,covid,0.000001481530376
alanna,vagianos,0.000000204935304
world,and,0.000019705434170
politics,was,0.000015290863303
have,been,0.000003340338480
politics,his,0.000012020198483
and,his,0.000015011647520
https,biden,0.000008166735824
cole,delbyck,0.000000203260356
politics,new,0.000018833137801
has,for,0.000023933642296
entry,michael,0.000015217980035
trump,donald,0.000023698008590
and,reuters,0.000007237800673
entry,russia,0.000013801975001
carly,ledbetter,0.000000203706747
supreme,court,0.000000205109430
entry,democrats,0.000007700316019
are,and,0.000043722382543
huffpost,for,0.000031530107663
are,for,0.000052422961744
about,politics,0.000029308859666
politics,from,0.000011591303519
politics,house,0.000008637208339
his,and,0.000015942607206
politics,former,0.000005971395240
www,coronavirus,0.000005343748398
huffingtonpost,john,0.000008874710147
house,politics,0.000016896026864
over,politics,0.000019846638679
news,that,0.000018554559574
entry,dead,0.000012163960491
was,and,0.000020686144126
entertainment,that,0.000012865638382
has,and,0.000019961402359
entry,best,0.000006293248589
entry,gay,0.000021133888367
entry,california,0.000019255088773
trump,white,0.000021078891223
trump,says,0.000050570852181
huffingtonpost,what,0.000010010970982
entry,man,0.000030016766686
about,and,0.000025980272767
www,black,0.000030718740163
https,how,0.000028889329769
entry,jimmy,0.000006527975074
sexual,harassment,0.000000530348700
trump,president,0.000022307214749
entry,tax,0.000018284279577
huffingtonpost,white,0.000027192014386
for,her,0.000011330309462
that,have,0.000007552671377
entry,you,0.000059464917285
sara,boboltz,0.000000440969103
with,for,0.000056630538893
entry,colbert,0.000007849323083
her,entertainment,0.000008310895282
entry,james,0.000009522156688
trump,with,0.000038654496166
jimmy,kimmel,0.000000087762444
huffingtonpost,black,0.000025409519367
for,world,0.000017966556698
entry,police,0.000028316761018
entry,out,0.000023393828087
entry,florida,0.000010930641110
www,covid,0.000007277087661
entry,will,0.000041650935600
new,for,0.000036280143831
https,john,0.000018807832021
entry,fox,0.000008165369763
politics,this,0.000015181043636
entry,that,0.000071124966780
politics,would,0.000007245147117
trump,new,0.000029065420676
politics,who,0.000014981133972
andy,mcdonald,0.000000236336064
huffingtonpost,sexual,0.000006144656254
black,panther,0.000000237951056
out,for,0.000020552079150
president,trump,0.000032261716115
trump,house,0.000013329917238
and,from,0.000014476016986
entry,joe,0.000006859964742
politics,they,0.000008870762031
from,and,0.000017111346096
