source,target,weight
www,huffingtonpost,2498.000000000000000
huffingtonpost,https,2498.000000000000000
www,https,2498.000000000000000
huffingtonpost,huffpost,1414.000000000000000
huffpost,https,1414.000000000000000
www,huffpost,1414.000000000000000
huffingtonpost,trump,1086.000000000000000
www,trump,1086.000000000000000
trump,https,1084.000000000000000
https,new,446.000000000000000
huffingtonpost,new,294.000000000000000
huffpost,new,239.000000000000000
women,said,236.000000000000000
reuters,new,231.000000000000000
www,new,211.000000000000000
new,entertainment,163.000000000000000
trump,new,146.000000000000000
police,sports,145.000000000000000
https,news,133.000000000000000
john,election,131.000000000000000
news,entertainment,123.000000000000000
https,reuters,122.000000000000000
huffingtonpost,reuters,101.000000000000000
dead,time,100.000000000000000
https,black,99.000000000000000
news,politics,96.000000000000000
michael,comedy,96.000000000000000
entertainment,politics,89.000000000000000
https,politics,88.000000000000000
woman,campaign,88.000000000000000
said,politics,85.000000000000000
entertainment,papenfuss,84.000000000000000
star,time,83.000000000000000
politics,news,82.000000000000000
new,news,78.000000000000000
black,parents,75.000000000000000
huffpost,reuters,68.000000000000000
https,world,67.000000000000000
www,reuters,65.000000000000000
entertainment,new,65.000000000000000
huffingtonpost,black,64.000000000000000
says,politics,64.000000000000000
entertainment,president,64.000000000000000
https,day,64.000000000000000
entertainment,news,62.000000000000000
https,accused,61.000000000000000
tweets,want,59.000000000000000
new,politics,58.000000000000000
shooting,wants,58.000000000000000
entertainment,house,56.000000000000000
set,scott,56.000000000000000
https,covid,56.000000000000000
news,said,55.000000000000000
https,week,55.000000000000000
https,said,54.000000000000000
https,voices,54.000000000000000
https,star,54.000000000000000
ryan,republican,53.000000000000000
attorney,calls,53.000000000000000
politics,entertainment,53.000000000000000
ron,americans,53.000000000000000
sarah,said,53.000000000000000
trump,accused,52.000000000000000
huffpost,news,52.000000000000000
https,people,51.000000000000000
year,golgowski,51.000000000000000
world,politics,51.000000000000000
it’s,accused,50.000000000000000
https,michael,50.000000000000000
country,said,49.000000000000000
people,said,48.000000000000000
world,says,48.000000000000000
entertainment,state,48.000000000000000
business,sex,48.000000000000000
president,politics,48.000000000000000
new,donald,48.000000000000000
https,video,47.000000000000000
said,lee,46.000000000000000
https,comedy,46.000000000000000
entertainment,queer,46.000000000000000
queer,climate,45.000000000000000
said,news,45.000000000000000
news,says,45.000000000000000
www,black,45.000000000000000
politics,says,45.000000000000000
killed,cole,44.000000000000000
https,crime,44.000000000000000
putin,obama,44.000000000000000
